=== PRE-FILTER: Extract target cluster rows from 50GB opinions CSV ===

Target clusters: 6718
Using: C:\Program Files\Git\usr\bin\bzcat.exe
Header verified: column 21 = "cluster_id"
Streaming (multi-line aware)...

  1140M lines, 3922891 records, 3205 matched, 204472 lines/sec (92.9 min)
  1145M lines, 3944075 records, 3211 matched, 204670 lines/sec (93.2 min)
  1150M lines, 3965934 records, 3212 matched, 204854 lines/sec (93.6 min)
  1155M lines, 3982053 records, 3213 matched, 205044 lines/sec (93.9 min)
  1160M lines, 3992261 records, 3219 matched, 204643 lines/sec (94.5 min)
  1165M lines, 4004302 records, 3229 matched, 204521 lines/sec (94.9 min)
  1170M lines, 4014387 records, 3233 matched, 204246 lines/sec (95.5 min)
  1175M lines, 4024180 records, 3235 matched, 203935 lines/sec (96.0 min)
  1180M lines, 4035034 records, 3240 matched, 203596 lines/sec (96.6 min)
  1185M lines, 4046849 records, 3250 matched, 203367 lines/sec (97.1 min)
  1190M lines, 4060312 records, 3287 matched, 202914 lines/sec (97.7 min)
  1195M lines, 4069867 records, 3314 matched, 202695 lines/sec (98.3 min)
  1200M lines, 4082889 records, 3329 matched, 202215 lines/sec (98.9 min)
  1205M lines, 4087782 records, 3352 matched, 201927 lines/sec (99.5 min)
  1210M lines, 4094459 records, 3366 matched, 201772 lines/sec (99.9 min)
  1215M lines, 4118927 records, 3368 matched, 201341 lines/sec (100.6 min)
  1220M lines, 4148746 records, 3369 matched, 200838 lines/sec (101.2 min)
  1225M lines, 4192210 records, 3371 matched, 199924 lines/sec (102.1 min)
  1230M lines, 4231946 records, 3381 matched, 199065 lines/sec (103.0 min)
  1235M lines, 4282583 records, 3389 matched, 197478 lines/sec (104.2 min)
  1240M lines, 4336676 records, 3434 matched, 194563 lines/sec (106.2 min)
  3500 records matched, 4366015 records scanned (107.7 min)
  1245M lines, 4396904 records, 3761 matched, 190306 lines/sec (109.0 min)
  4000 records matched, 4439629 records scanned (110.8 min)
  1250M lines, 4478527 records, 4219 matched, 185367 lines/sec (112.4 min)
  4500 records matched, 4549373 records scanned (115.1 min)
  1255M lines, 4556497 records, 4505 matched, 181397 lines/sec (115.3 min)
  1260M lines, 4639603 records, 4520 matched, 178289 lines/sec (117.8 min)
