SENTTOT,SENSPLT0,DISTRICT,MONSEX,OFFGUIDE,SENTRNGE,XCRHISSR
4.2,4.2,42,0,17,0,1
16,16,70,0,17,3,3
96,96,81,0,10,8,3
15,15,47,0,10,7,2
21,21,41,0,24,0,2
60,60,60,0,10,0,4
57,57,20,1,10,8,2
41,41,41,1,16,0,1
40,40,41,0,13,8,4
41,41,74,0,15,4,1
120,120,31,0,10,8,1
0.03,0.03,4,0,30,0,1
120,120,41,1,10,2,3
106,106,96,0,10,0,3
27,27,38,0,13,0,4
84,84,22,1,16,0,6
0.23,0.23,41,1,17,3,1
18,18,26,0,13,0,3
57,57,88,0,10,0,1
5,5,70,0,17,3,4
27,27,74,1,10,3,1
180,180,60,0,13,8,6
,0,96,0,28,8,1
4,8,25,1,16,8,1
0.03,0.03,4,0,7,5,1
60,60,64,0,13,8,4
21,21,82,0,17,3,4
137,137,61,0,10,8,6
0.03,0.03,73,1,10,7,2
120,120,96,0,13,0,6
108,108,83,0,7,8,1
0.03,0.03,41,1,17,2,2
21,21,41,0,17,0,4
48,48,41,1,16,2,1
33,33,70,0,17,3,1
4.13,4.13,32,0,17,0,1
3.15,3.15,74,0,17,3,2
72,72,70,0,10,7,1
101,101,28,0,10,2,6
48,48,47,0,10,4,3
24,24,49,1,16,0,1
24,24,28,0,13,8,4
12.03,12.03,41,0,17,8,1
,6,41,1,5,2,3
60,60,83,0,27,0,1
14.59,14.59,42,0,1,7,1
,0,41,0,17,8,1
37,37,27,0,10,8,3
24,24,9,0,16,8,2
24,24,28,0,13,8,4
30,30,27,0,10,0,1
336,336,22,0,7,7,1
2.5,2.5,74,0,17,7,1
5,5,70,0,17,3,3
74,74,84,0,10,4,2
24,24,70,0,17,3,4
0.03,0.03,27,0,24,8,4
52,52,42,0,10,0,3
40,40,40,1,15,7,1
,0,42,0,17,0,1
14,14,84,0,10,7,1
2.2,2.2,42,1,17,0,1
3.99,3.99,42,0,17,0,1
2.3,2.3,42,0,17,0,1
4.39,4.39,42,0,17,0,1
0.03,0.03,10,0,17,0,1
360,360,39,0,10,6,3
24,24,26,0,13,0,2
228,228,22,0,27,4,1
46,46,78,0,13,0,3
,0,82,1,30,0,1
120,120,48,0,16,8,3
6,6,42,0,17,8,2
405,405,42,0,7,0,3
30,30,41,0,17,7,4
6,6,74,1,10,3,1
1.89,1.89,9,0,17,0,2
41,41,37,0,24,0,6
21,21,84,0,17,3,4
42,42,34,0,10,2,2
240,240,8,0,4,8,6
150,150,96,0,10,0,6
48,54,48,0,10,8,6
14,14,49,0,16,0,2
4.24,4.24,70,0,17,0,1
,0,37,0,13,2,2
18,18,70,0,17,3,3
8,8,41,0,17,8,3
43,43,47,0,13,0,3
14,14,34,0,10,0,3
87,87,34,0,10,0,1
0.03,4.03,5,0,10,2,1
89,89,65,0,10,6,4
2.3,2.3,42,1,17,0,1
24,24,42,0,17,0,4
3.26,3.26,42,1,17,0,1
11.83,11.83,52,0,16,8,1
108,108,65,0,13,2,6
32,32,52,0,13,0,3
45,45,82,0,13,2,4
,0,70,0,17,3,1
8,8,70,0,17,3,2
84,84,4,0,18,8,1
18,18,48,0,13,8,3
6.67,6.67,70,0,23,8,1
3.88,3.88,74,0,17,3,2
150,150,4,0,21,7,2
198,198,81,0,27,7,1
33,33,67,1,10,8,1
,1,90,0,6,0,1
42,42,67,1,16,8,1
7,7,42,1,17,6,1
0.23,0.23,6,0,17,8,1
0.26,0.26,42,1,17,0,1
96,96,87,0,19,8,4
18,18,67,0,17,3,4
168,168,49,1,10,7,3
6,6,41,0,5,8,1
121,121,61,0,10,2,3
0.33,0.33,74,0,17,3,1
16,16,58,1,16,7,1
57,57,51,0,13,0,5
0.03,0.03,4,0,7,7,1
120,120,43,0,10,0,2
60,60,66,0,13,0,6
360,360,63,0,27,0,3
33,33,78,0,13,0,6
60,60,0,0,10,8,1
21,21,15,0,16,2,4
6.64,6.64,74,1,10,4,1
52,52,51,0,13,2,6
18,18,78,0,17,3,3
9,9,70,0,17,3,1
70,70,31,0,10,0,1
8.85,8.85,34,0,10,0,1
8,8,70,0,17,0,2
60,60,48,0,16,0,6
18,18,74,1,10,3,1
151,151,48,0,27,4,4
204,204,31,0,26,8,6
60,60,65,0,7,7,1
44,44,10,0,13,0,2
77,77,15,0,10,0,6
36,36,48,0,13,2,5
21,21,65,0,13,0,2
36,36,65,0,13,7,6
24,24,74,0,17,3,4
6,6,43,0,16,2,1
30,30,74,1,10,3,1
,0,52,0,16,2,1
84,84,64,1,10,8,2
6,6,74,0,17,3,2
0.03,0.03,40,0,10,8,1
5.45,5.45,41,0,17,5,2
210,210,0,0,26,0,6
60,60,82,0,13,0,6
30,30,41,0,17,0,3
200,200,63,0,10,8,6
16.62,16.62,41,0,17,5,2
5.2,5.2,42,0,17,8,2
10.2,10.2,88,0,10,2,6
87,87,40,1,10,7,3
168,168,66,0,10,2,6
24.89,24.89,40,0,16,0,3
27.66,27.66,65,0,10,2,4
48,48,49,0,10,0,4
210,210,40,0,10,7,2
78,78,84,0,10,2,3
132,132,14,0,10,0,4
5.32,5.32,41,0,17,3,4
4.57,4.57,84,0,17,0,1
6,6,84,0,17,3,1
120,120,40,0,10,8,1
0.03,0.03,40,1,10,2,1
,0,47,1,10,2,1
87,87,47,0,10,2,1
36,36,14,1,13,8,1
5.95,5.95,41,0,17,3,1
24,24,41,0,17,0,5
12.03,12.03,41,0,17,5,2
10,10,84,0,17,3,3
18,18,84,0,17,3,4
15,15,41,0,17,0,2
235,235,36,0,27,0,1
84,84,46,0,13,0,5
